DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON
231706083,17,Devonshire,1793,PARTHENIA ST,TAMPA AV,34.2282,-118.5535
230706619,7,Wilshire,752,1200 STEARNS DR,,34.0542,-118.3702
230305043,3,Southwest,335,3000 9TH AV,,34.0277,-118.3272
231509570,15,N Hollywood,1503,6800 BELLINGHAM AV,,34.1939,-118.3987
232007272,20,Olympic,2027,NORMANDIE AV,WILSHIRE BL,34.0617,-118.3004
231216743,12,77th Street,1268,100 E 79TH ST,,33.9679,-118.2739
230513575,5,Harbor,501,18400 S NORMANDIE AV,,33.8638,-118.2993
231608608,16,Foothill,1684,7600 LAUREL CANYON BL,,34.2085,-118.3965
230515149,5,Harbor,555,500 W SANTA CRUZ ST,,33.7442,-118.2879
231916735,19,Mission,1961,15500 NORDHOFF ST,,34.2427,-118.4702
230904459,9,Van Nuys,963,14600 MORRISON ST,,34.1603,-118.4513
232016704,20,Olympic,2025,300 S MARIPOSA AV,,34.069,-118.2991
230221429,2,Rampart,241,300 S LA FAYETTE PARK PL,,34.0671,-118.2806
230717526,7,Wilshire,762,6100 PICKFORD ST,,34.0488,-118.3749
232114836,21,Topanga,2128,7900 OSO AV,,34.214,-118.5754
230408016,4,Hollenbeck,439,2300 VANDALIA AV,,34.0732,-118.1632
230907900,9,Van Nuys,974,4700 WILLIS AV,,34.156,-118.4553
230213370,2,Rampart,245,2500 WILSHIRE BL,,34.0601,-118.2805
231608681,16,Foothill,1654,12300 OSBORNE ST,,34.2647,-118.4019
232013219,20,Olympic,2026,400 S NEW HAMPSHIRE AV,,34.0674,-118.2929
230306318,3,Southwest,359,3700 S FLOWER ST,,34.0178,-118.2811
230404679,4,Hollenbeck,412,AVENUE 25,HUMBOLDT ST,34.0792,-118.2191
231105785,11,Northeast,1172,1300 N BENTON WY,,34.0882,-118.2646
230305911,3,Southwest,397,1100 W 42ND ST,,34.0073,-118.2941
230911003,9,Van Nuys,933,14600 VICTORY BL,,34.1867,-118.4509
231416158,14,Pacific,1437,3700 S BENTLEY AV,,34.0156,-118.4173
230708096,7,Wilshire,764,1400 S DUNSMUIR AV,,34.0483,-118.3537
232114157,21,Topanga,2183,23100 AVENUE SAN LUIS,,34.1618,-118.6302
231810281,18,Southeast,1826,92ND,SUCCESS,33.9533,-118.2489
232014498,20,Olympic,2045,8TH ST,MARIPOSA AV,34.0577,-118.2987
231700004,17,Devonshire,1782,19300 BUSINESS CENTER DR,,34.231,-118.5535
230716917,7,Wilshire,773,2000 S CURSON AV,,34.0397,-118.3635
230711954,7,Wilshire,713,400 N GARDNER ST,,34.0782,-118.3573
231306141,13,Newton,1323,24TH ST,GRIFFITH,34.0216,-118.2564
232106371,21,Topanga,2155,6000 POMEGRANATE LN,,34.1807,-118.6105
230411870,4,Hollenbeck,429,3900 LOWELL AV,,34.0903,-118.1624
230907960,9,Van Nuys,976,4600 ALLOTT AV,,34.154,-118.4279
231715650,17,Devonshire,1757,10000 BALBOA BL,,34.2527,-118.5024
230117139,1,Central,162,7TH AV,FLOWER ST,34.049,-118.2592
232104875,21,Topanga,2103,8300 TOPANGA CANYON BL,,34.2259,-118.6126
231014023,10,West Valley,1015,7400 CANBY AV,,34.2048,-118.5339
230507792,5,Harbor,529,700 PENINSULA RD,,33.7649,-118.2485
230706354,7,Wilshire,763,1700 S GENESEE AV,,34.045,-118.3651
231004342,10,West Valley,1025,6800 WHITE OAK AV,,34.1975,-118.5273
232018804,20,Olympic,2001,400 N IRVING BL,,34.0776,-118.3187
230812094,8,West LA,861,17700 PACIFIC COAST HY,,34.0406,-118.5623
231224690,12,77th Street,1249,6300 ESTRELLA AV,,33.9819,-118.2849
231707299,17,Devonshire,1785,18700 KNAPP ST,,34.2382,-118.5405
231504623,15,N Hollywood,1538,BURBANK,VINELAND,34.1722,-118.3703
231717737,17,Devonshire,1756,17800 LASSEN ST,,34.254,-118.5128
231612373,16,Foothill,1687,11100 LORNE ST,,34.2175,-118.3726
231811729,18,Southeast,1871,700 W 142ND ST,,33.9029,-118.2873
232116072,21,Topanga,2144,22500 MARLIN PL,,34.1969,-118.6173
231807318,18,Southeast,1822,100 E 97TH ST,,33.9483,-118.2739
230617513,6,Hollywood,636,YUCCA ST,LAS PALMAS AV,34.1032,-118.3362
230714082,7,Wilshire,711,400 N LAUREL AV,,34.0782,-118.3648
230907050,9,Van Nuys,909,13800 CANTLAY ST,,34.2022,-118.4343
230809477,8,West LA,836,1800 PELHAM AV,,34.0519,-118.4319
232018349,20,Olympic,2062,GRAMERCY PL,11TH ST,34.0508,-118.3133
230907806,9,Van Nuys,939,13100 VICTORY BL,,34.1867,-118.4181
232112714,21,Topanga,2158,21200 OXNARD ST,,34.1837,-118.5846
231305811,13,Newton,1391,69TH ST,BROADWAY,33.9774,-118.2783
230406360,4,Hollenbeck,489,2800 WYNWOOD LN,,34.0255,-118.2153
241205382,12,77th Street,1255,1400 W 76TH ST,,33.971,-118.3003
231509896,15,N Hollywood,1555,11300 HUSTON ST,,34.1599,-118.3774
230513250,5,Harbor,515,1500 N AVALON BL,,33.7948,-118.2694
231307129,13,Newton,1331,300 W 33RD ST,,34.0213,-118.2756
230512972,5,Harbor,518,24400 SEAGROVE AV,,33.8031,-118.2585
231516633,15,N Hollywood,1548,5200 LANKERSHIM BL,,34.1649,-118.3746
230116364,1,Central,111,500 N FIGUEROA ST,,34.0615,-118.247
231417264,14,Pacific,1491,12500 VISTA DEL MAR,,33.9355,-118.4386
230905972,9,Van Nuys,985,14000 VENTURA BL,,34.149,-118.4372
240404067,4,Hollenbeck,449,2400 POMEROY AV,,34.0537,-118.2034
231404184,14,Pacific,1454,4700 LINCOLN BL,,33.98,-118.4384
231612938,16,Foothill,1698,8000 CLYBOURN AV,,34.2164,-118.3643
232004380,20,Olympic,2033,900 S HOBART BL,,34.0559,-118.3053
230717248,7,Wilshire,765,4500 W PICO BL,,34.0485,-118.3334
230410492,4,Hollenbeck,438,5200 ALHAMBRA AV,,34.0736,-118.1724
230321080,3,Southwest,354,2200 W 37TH PL,,34.0203,-118.319
231416885,14,Pacific,1445,12600 MATTESON AV,,34.0003,-118.4354
230818396,8,West LA,897,3200 BAGLEY AV,,34.0325,-118.3955
230218610,2,Rampart,204,1400 EDGECLIFFE DR,,34.0888,-118.2788
230714415,7,Wilshire,788,1900 CRENSHAW BL,,34.0399,-118.3311
231304884,13,Newton,1385,300 E 62ND ST,,33.9833,-118.2696
230911145,9,Van Nuys,904,NOBLE AV,SATICOY ST,34.2085,-118.4618
230913163,9,Van Nuys,969,4800 COLDWATER CANYON AV,,34.1576,-118.4138
